Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"ENCARGOS ESPECIAIS";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";494.353,85;494.353,85;494.353,85
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"CONTROLE AMBIENTAL";9.233.500,38;9.104.811,05;9.103.741,09
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";1.650.424.245,72;1.598.594.003,70;1.584.207.814,95
CULTURA;"FUNDACAO JOAO PINHEIRO";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";1.627.811,16;1.594.070,60;1.592.474,50
"COMERCIO E SERVICOS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMALIZACAO E QUALIDADE";790.109,87;745.871,59;752.616,59
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"ADMINISTRACAO GERAL";324.478.702,99;235.910.196,32;222.433.508,93
ADMINISTRACAO;"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"ADMINISTRACAO GERAL";11.550.617,27;11.177.320,54;11.111.682,54
HABITACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";197.874,17;197.874,17;197.957,97
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";204.368.845,64;203.572.113,02;203.390.559,93
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";56.466.717,95;47.573.147,76;47.501.962,34
"ESSENCIAL A JUSTICA";"ADVOCACIA GERAL DO ESTADO";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";307.035.350,82;299.319.004,72;298.596.776,19
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"PROTECAO E BENEFICIOS AO TRABALHADOR";380.514,15;380.002,28;380.002,28
SANEAMENTO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"SANEAMENTO BASICO URBANO";15.435.912,47;14.397.714,09;10.481.280,74
"ENCARGOS ESPECIAIS";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";60.446,46;60.446,46;54.836,12
"ENCARGOS ESPECIAIS";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";5.629.922,67;5.626.422,67;4.751.134,57
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"INFORMACAO E INTELIGENCIA";12.285,00;285,00;285,00
"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";2.229.517.503,53;2.229.517.503,53;2.229.588.664,23
"PREVIDENCIA SOCIAL";"FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";13.815.244.528,85;13.815.124.010,18;13.815.124.010,18
JUDICIARIA;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"ACAO JUDICIARIA";11.125.530,85;7.980.450,02;7.626.701,04
JUDICIARIA;"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.365.251.900,59;4.365.228.488,13;4.365.531.269,38
ADMINISTRACAO;"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"ADMINISTRACAO GERAL";19.190.865,50;19.169.127,40;19.167.782,33
ADMINISTRACAO;SECRETARIA-GERAL;"ADMINISTRACAO GERAL";6.231.286,15;6.199.226,46;6.126.930,15
ADMINISTRACAO;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"ADMINISTRACAO GERAL";12.313.391,02;12.191.699,76;12.075.634,79
