Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
SAUDE;FUNDO ESTADUAL DE SAUDE;ADMINISTRACAO GERAL;639.837.682,11;619.177.656,60;591.839.617,50
SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;ADMINISTRACAO GERAL;108.765.634,75;107.561.450,97;106.441.472,15
ORGANIZACAO AGRARIA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;ABASTECIMENTO;5.577.214,55;4.562.411,54;4.099.854,84
ENCARGOS ESPECIAIS;GESTAO DA DIVIDA PUBLICA ESTADUAL;SERVICO DA DIVIDA INTERNA;4.104.118.729,09;3.981.089.017,81;3.981.089.017,81
HABITACAO;FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS;HABITACAO URBANA;4.983.186,54;3.723.186,54;3.456.207,79
GESTAO AMBIENTAL;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;PRESERVACAO E CONSERVACAO AMBIENTAL;8.908.819,59;8.680.354,92;8.678.716,20
SANEAMENTO;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;SANEAMENTO BASICO URBANO;377.295.557,90;0;0
EDUCACAO;FUNDACAO HELENA ANTIPOFF;EDUCACAO BASICA;23.398.709,29;20.251.330,83;19.891.504,99
ENCARGOS ESPECIAIS;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;312.108,00;312.108,00;312.108,00
ENCARGOS ESPECIAIS;FUNDACAO JOAO PINHEIRO;OUTROS ENCARGOS ESPECIAIS;3.682.346,36;3.682.346,36;3.638.000,47
ENCARGOS ESPECIAIS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;116.075.813,21;114.520.586,20;96.688.142,42
PREVIDENCIA SOCIAL;PROCURADORIA GERAL DE JUSTICA;PREVIDENCIA DO REGIME ESTATUTARIO;548.189.809,11;548.189.809,11;548.189.809,11
