Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";11.234.045,00;11.234.045,00;11.234.045,00
2023;SAUDE;"FUNDACAO EZEQUIEL DIAS";"DESENVOLVIMENTO CIENTIFICO";22.704.924,95;16.339.026,35;15.721.896,05
2023;SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";2.439.826,97;2.316.923,84;2.250.304,30
2023;EDUCACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";EMPREGABILIDADE;4.472.989,30;3.254.795,70;2.976.710,54
2023;AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"VIGILANCIA SANITARIA";25.568.368,48;23.836.723,49;23.805.912,61
2023;"ENCARGOS ESPECIAIS";"FUNDACAO EZEQUIEL DIAS";"OUTROS ENCARGOS ESPECIAIS";3.910.798,31;3.906.693,41;3.724.099,96
2023;"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE AGROPECUARIA";"OUTROS ENCARGOS ESPECIAIS";2.062.928,69;2.062.928,69;1.914.113,51
2023;"ENCARGOS ESPECIAIS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";67.647,33;67.647,33;67.647,33
2023;"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"CONTROLE AMBIENTAL";381.034,02;377.701,02;377.701,02
2023;"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";199.831.658,74;199.284.579,14;196.495.050,11
2023;"PREVIDENCIA SOCIAL";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";410.468.640,10;410.468.640,10;410.485.280,11
2023;ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"CONTROLE INTERNO";40.513.232,83;40.139.394,99;40.092.124,75
2023;SAUDE;"FUNDACAO EZEQUIEL DIAS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";3.581.950,27;3.174.186,26;3.093.715,89
2023;AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"EXTENSAO RURAL";232.987.964,36;232.987.964,36;232.987.964,36
2023;EDUCACAO;"FUNDACAO JOAO PINHEIRO";"ENSINO SUPERIOR";18.951.380,76;16.911.542,05;16.098.292,48
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"FORMACAO DE RECURSOS HUMANOS";8.157.398,92;7.816.767,91;7.703.446,63
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO DE RECEITAS";912.480.500,74;903.758.198,14;901.803.558,41
2023;HABITACAO;"FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS";"HABITACAO URBANA";362.500,00;282.088,67;278.071,18
2023;EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO MEDIO";19.392.097,97;19.161.342,99;19.147.140,73
