Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"DESPORTO E LAZER";"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";104.310.877,66;86.355.239,56;85.059.911,09
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";POLICIAMENTO;61.316.011,69;44.796.818,89;31.082.253,13
CULTURA;"FUNDACAO CLOVIS SALGADO";"DIFUSAO CULTURAL";3.835.066,24;3.835.066,19;3.835.066,19
CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"DIFUSAO CULTURAL";232,41;232,41;232,41
EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ENSINO SUPERIOR";77.819.249,21;67.865.469,65;63.897.270,15
INDUSTRIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"PROMOCAO INDUSTRIAL";800.000,00;800.000,00;800.000,00
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";793.215,94;732.692,65;660.977,51
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"FORMACAO DE RECURSOS HUMANOS";31.603,95;10.433,95;0,00
"ASSISTENCIA SOCIAL";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"ALIMENTACAO E NUTRICAO";68.840,81;2.187,05;2.187,05
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA AO PORTADOR DE DEFICIENCIA";14.941.826,48;9.763.448,81;162.432,34
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"PREVIDENCIA ESPECIAL";53.582.917,23;53.582.917,23;53.582.917,23
SAUDE;"FUNDO ESTADUAL DE SAUDE";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";231.681.826,73;1.471.184,94;695.820,94
SAUDE;"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";2.375.101,67;2.375.101,67;2.375.101,67
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"TRANSPORTE RODOVIARIO";28.958.797,67;23.458.922,03;20.598.295,88
TRANSPORTE;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";261.774.495,83;219.079.629,66;192.090.498,68
AGRICULTURA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";COMERCIALIZACAO;40.732,00;40.732,00;40.732,00
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"SANEAMENTO BASICO RURAL";0,00;0,00;0,00
ENERGIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COMBUSTIVEIS MINERAIS";35.834,85;35.834,85;35.834,85
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"TRANSPORTE AEREO";171.460,08;3.463,68;3.463,68
"ENCARGOS ESPECIAIS";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";2.497.957,57;2.497.957,57;2.497.957,57
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"CONTROLE AMBIENTAL";5.898.370,29;2.822.935,16;2.580.312,46
"SEGURANCA PUBLICA";"DEPARTAMENTO DE TRANSITO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";308.899.653,80;288.166.910,27;276.205.522,94
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";226.750.131,81;199.186.157,75;107.326.972,65
CULTURA;"FUNDACAO JOAO PINHEIRO";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";29.631,60;21.990,77;20.300,85
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"ADMINISTRACAO GERAL";17.224.289,18;16.178.873,62;15.681.937,89
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"ADMINISTRACAO GERAL";177.700.528,21;169.955.602,62;165.422.608,77
URBANISMO;"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL";"ADMINISTRACAO GERAL";3.305.016,40;3.305.016,40;3.285.100,65
SAUDE;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"ADMINISTRACAO GERAL";133.658.719,78;133.193.978,02;130.999.739,87
"CIENCIA E TECNOLOGIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ADMINISTRACAO GERAL";18.220.107,82;17.642.478,50;17.602.381,11
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.666.733.123,91;1.666.728.334,41;1.666.725.293,91
CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"ADMINISTRACAO GERAL";12.919.458,50;12.641.138,21;12.586.827,54
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";IRRIGACAO;29.801,30;27.204,39;27.542,79
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";14.426.997,11;14.347.593,97;13.818.681,04
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";1.132.678,85;967.935,37;506.885,11
ADMINISTRACAO;"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"ALIMENTACAO E NUTRICAO";13.454,11;8.975,17;7.987,37
EDUCACAO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"ENSINO PROFISSIONAL";2.377.119,52;2.313.217,91;2.312.676,13
"ESSENCIAL A JUSTICA";"ADVOCACIA GERAL DO ESTADO";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";13.638.340,27;12.598.802,31;11.462.892,43
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";13.138.984,49;4.344.321,00;4.336.723,11
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"PROTECAO E BENEFICIOS AO TRABALHADOR";148.581,97;119.177,51;119.177,51
SAUDE;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";4.606.000,27;1.008.204,31;973.447,16
CULTURA;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";1.413.545,38;819.564,38;790.879,63
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"COMUNICACAO SOCIAL";36.513,94;11.529,20;11.529,20
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";195.455.286,31;195.045.502,61;192.402.798,46
ENERGIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"CONSERVACAO DE ENERGIA";20.975,46;12.612,64;12.612,64
"ENCARGOS ESPECIAIS";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";12.763,00;12.292,08;12.292,08
"ENCARGOS ESPECIAIS";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";604.645,36;578.645,36;536.016,74
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"INFORMACAO E INTELIGENCIA";3.821.546,39;905.339,52;91.057,46
"PREVIDENCIA SOCIAL";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";1.734.812.208,44;1.734.812.208,44;1.734.915.155,49
JUDICIARIA;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"ACAO JUDICIARIA";10.024.722,49;7.434.080,96;7.157.843,50
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"ADMINISTRACAO GERAL";125.707.701,78;124.115.613,96;122.537.926,33
AGRICULTURA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"ADMINISTRACAO GERAL";1.670.310,13;1.640.004,50;1.462.442,81
JUDICIARIA;"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";3.809.086.384,86;3.808.836.384,86;3.809.063.572,18
ADMINISTRACAO;SECRETARIA-GERAL;"ADMINISTRACAO GERAL";11.239.492,30;10.557.021,33;10.516.729,45
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ADMINISTRACAO GERAL";10.859.924,58;10.158.469,98;10.135.181,40
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"ADMINISTRACAO GERAL";2.519.054,37;2.500.828,68;2.432.518,97
CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"ADMINISTRACAO GERAL";15.979.596,64;15.531.404,76;14.998.645,20
CULTURA;"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"ADMINISTRACAO GERAL";11.896.067,74;11.696.168,98;11.320.205,09
"GESTAO AMBIENTAL";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";6.281.973,33;2.409.516,64;922.477,10
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"FORMACAO DE RECURSOS HUMANOS";701,74;701,74;701,74
CULTURA;"EMPRESA MINEIRA DE COMUNICACAO";TELECOMUNICACOES;1.020.081,82;1.020.081,82;1.020.081,82
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"EDUCACAO DE JOVENS E ADULTOS";18.793,50;5.236,41;4.301,32
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ENSINO FUNDAMENTAL";5.721.026,06;5.302.563,79;5.300.796,24
ADMINISTRACAO;"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS";"TECNOLOGIA DA INFORMACAO";317.648,91;317.648,91;307.202,07
SAUDE;"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";174.133,62;160.922,23;151.072,19
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";295.436,34;31.899,40;25.528,82
